French,English
partie,part
histoire,history
chercher,search
seulement,only
aide,help
demande,request
frère,brother
laisser,let
car,because
mettre,to put
chaque,each
devrait,should
longtemps,long time
pendant,while
aucune,any
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
dont,whose
perdu,lost
première,first
côté,side
vieux,old
matin,morning
point,point
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
attendez,Wait
parti,left
arrêter,Stop
terre,Earth
compte,account
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
bureau,office
